Title|Budget|Gross|Year
Campus Man|-1|989528|1987
Can't Buy Me Love|-1|31623833|1987
The Care Bears Adventure in Wonderland|-1|2608000|1987
Castaway|-1|483460|1986
China Girl|-1|1262091|1987
The Chipmunk Adventure|-1|6804312|1987
Chuck Berry Hail! Hail! Rock 'n' Roll|-1|719323|1987
Cold Steel|-1|285885|1987
Cop|-1|1884315|1988
Crazy Love|-1|119919|1987
Creepshow 2|3500000|14000000|1987
Critical Condition|14000000|20240502|1987
Cross My Heart|-1|1025762|1987
Cry Freedom|29000000|5899797|1987
The Curse|-1|1930001|1987
Cyclone|-1|41174|1987
Dancers|-1|1190416|1987
Date with an Angel|-1|1988962|1987
Dead of Winter|-1|2413427|1987
The Dead|-1|4370078|1987
Deadline|-1|141211|1987
Deadly Illusion|-1|626724|1987
Deadtime Stories|-1|2750741|1986
Death Before Dishonor|-1|3776540|1987
Death Wish 4: The Crackdown|5000000|6767690|1987
Dirty Dancing|6000000|63952836|1987
Disorderlies|-1|10348437|1987
Dragnet|-1|57387516|1987
Drowning by Numbers|-1|424773|1988
Duet for One|-1|8736|1986
Eat the Rich|-1|200723|1987
Eddie Murphy Raw|-1|50504655|1987
Empire of the Sun|38000000|22238696|1987
Enemy Territory|-1|197791|1987
Ernest Goes to Camp|3000000|23509382|1987
Evil Dead II|3500000|5923044|1987
Extreme Prejudice|-1|11307844|1987
La famiglia|-1|346730|1987
Fatal Attraction|14000000|156645693|1987
Fatal Beauty|-1|12046526|1987
Five Corners|-1|969205|1987
Flowers in the Attic|-1|15151736|1987
The Fourth Protocol|-1|12423831|1987
From the Hip|-1|9518342|1987
Full Metal Jacket|17000000|46357676|1987
Gaby: A True Story|-1|125400|1987
The Garbage Pail Kids Movie|-1|1576615|1987
Gardens of Stone|-1|5262047|1987
The Gate|2500000|13539458|1987
Giulia e Giulia|-1|901364|1987
The Glass Menagerie|-1|895904|1987
The Good Father|-1|421201|1985
Good Morning, Babylon|-1|183700|1987
Good Morning, Vietnam|13000000|123922370|1987
The Umbrella Woman|-1|1155020|1987
Le grand chemin|-1|760539|1987
Ground Zero|7000000|203144|1987
Hamburger Hill|-1|13839404|1987
The Hanoi Hilton|-1|38959|1987
Harry and the Hendersons|-1|29760613|1987
Heat|-1|34493095|1986
Hello Again|-1|20419446|1987
Hello Mary Lou: Prom Night II|-1|2683519|1987
Hellraiser|1000000|13928408|1987
The Hidden|-1|9747988|1987
Hiding Out|-1|7019441|1987
Der Himmel über Berlin|-1|3806540|1987
Hollywood Shuffle|100000|5228617|1987
Home Is Where the Hart Is|-1|8162|1987
Ôritsu uchûgun Oneamisu no tsubasa|8000000|55572|1987
Hope and Glory|-1|10021120|1987
Hot Pursuit|-1|4215859|1987
House II: The Second Story|-1|7800000|1987
House of Games|-1|2585639|1987
Housekeeping|-1|1083282|1987
Hunk|-1|1749956|1987
I've Heard the Mermaids Singing|-1|1408491|1987
In the Mood|-1|999382|1987
Innerspace|-1|25893810|1987
Intervista|-1|112560|1987
Ironweed|27000000|7393346|1987
Ishtar|55000000|12715192|1987
Jaws: The Revenge|23000000|20763013|1987
The Killing Time|-1|500283|1987
The Kitchen Toto|-1|101807|1987
La Bamba|-1|54215416|1987
The Last Emperor|25000000|108939|1987
Leonard Part 6|-1|4916871|1987
Less Than Zero|-1|12396383|1987
Lethal Weapon|15000000|65207127|1987
Light of Day|-1|10489617|1987
Like Father Like Son|-1|34377585|1987
The Living Daylights|30000000|50096813|1987
Living on Tokyo Time|-1|285146|1987
The Lonely Passion of Judith Hearne|-1|523091|1987
The Lost Boys|-1|32222567|1987
Made in Heaven|-1|4572845|1987
Maid to Order|3000000|9868521|1987
Making Mr. Right|-1|1584970|1987
Malone|-1|3060858|1987
Man on Fire|-1|519596|1987
Mannequin|-1|38018682|1987
Masques|-1|682063|1987
Masters of the Universe|17000000|17336370|1987
Matewan|4000000|1680358|1987
Maurice|2600000|3130592|1987
Meatballs III: Summer Job|-1|2147228|1986
Million Dollar Mystery|-1|989033|1987
Mondo New York|-1|193209|1988
The Monster Squad|12000000|3769990|1987
A Month in the Country|-1|443524|1987
Moonstruck|-1|80640528|1987
Morgan Stewart's Coming Home|-1|2136381|1987
My Demon Lover|-1|3922273|1987
Nadine|12000000|5669831|1987
Near Dark|5000000|3369307|1987
Night of the Demons|1200000|3109904|1988
Nightflyers|-1|1149470|1987
A Nightmare on Elm Street 3: Dream Warriors|5000000|44053755|1987
No Man's Land|-1|2877571|1987
No Way Out|15000000|35509515|1987
North Shore|-1|3832228|1987
Nowhere to Hide|-1|847468|1987
Number One with a Bullet|-1|410952|1987
Nuts|-1|8152529|1987
Oci ciornie|-1|2201428|1987
Orphans|-1|252430|1987
Outrageous Fortune|-1|52864741|1987
Over the Top|-1|16057580|1987
Overboard|-1|26713187|1987
Paramedics|-1|402619|1988
La passion Béatrice|-1|211821|1987
Pelle erobreren|-1|2053931|1987
Penitentiary III|-1|1392616|1987
Personal Services|-1|1744164|1987
The Pick-up Artist|15000000|13290368|1987
Pinocchio and the Emperor of the Night|8000000|2715656|1987
The New Adventures of Pippi Longstocking|5000000|3569939|1988
Planes, Trains & Automobiles|-1|49230280|1987
Monanieba|-1|215496|1984
Police Academy 4: Citizens on Patrol|-1|24432842|1987
Positive I.D.|-1|371313|1986
Postcards|-1|1108322|1987
A Prayer for the Dying|6000000|1432687|1987
Predator|18000000|56471713|1987
Prick Up Your Ears|-1|1654743|1987
Prince of Darkness|3000000|14182492|1987
The Princess Academy|-1|205000|1987
The Princess Bride|16000000|30857814|1987
The Principal|-1|19734940|1987
Project X|18000000|18532286|1987
Radio Days|16000000|14792779|1987
Raising Arizona|6000000|22847564|1987
Real Men|-1|873903|1987
Return to Horror High|-1|1189709|1987
Revenge of the Nerds II: Nerds in Paradise|-1|30063289|1987
RoboCop|13000000|53356612|1987
The Rosary Murders|-1|1730337|1987
Roxanne|-1|40050884|1987
Rumpelstiltskin|-1|355253|1987
The Running Man|27000000|38122105|1987
Russkies|-1|2189047|1987
Sammy and Rosie Get Laid|-1|1196336|1987
The Secret of My Succe$s|-1|66995879|1987
September|10000000|486434|1987
Shy People|-1|769119|1987
The Sicilian|-1|5406879|1987
Siesta|-1|700000|1987
Sign 'o' the Times|-1|3000000|1987
Silent Night, Deadly Night Part 2|250000|154323|1987
Sister, Sister|-1|743445|1987
Slam Dance|-1|406881|1987
Some Kind of Wonderful|-1|18553948|1987
Someone to Watch Over Me|17000000|10278549|1987
Spaceballs|22700000|38119483|1987
Square Dance|-1|225358|1987
The Squeeze|-1|2228951|1987
Stakeout|-1|6538935|1987
Stand and Deliver|-1|13994920|1988
Steel Dawn|3520000|562187|1987
Steele Justice|-1|1327740|1987
The Stepfather|-1|2488740|1987
Straight to Hell|1000000|210200|1987
Street Smart|-1|925302|1987
Summer Heat|-1|350481|1987
Summer School|-1|35658098|1987
Superman IV: The Quest for Peace|17000000|15681020|1987
Surrender|15000000|5711976|1987
Suspect|-1|18782400|1987
Swimming to Cambodia|-1|1002994|1987
Teen Wolf Too|3000000|7888703|1987
3 Men and a Baby|-1|167780960|1987
Three O'Clock High|-1|3685862|1987
Three for the Road|-1|1539000|1987
Throw Momma from the Train|14000000|57915972|1987
Tin Men|11000000|25411386|1987
Tough Guys Don't Dance|5000000|858250|1987
Travelling North|-1|214722|1987
The Trouble with Spies|-1|205507|1987
Un homme amoureux|-1|949451|1987
The Untouchables|25000000|76270454|1987
Vincent|-1|1577480|1987
Waiting for the Moon|-1|751555|1987
Walk Like a Man|-1|460608|1987
Wall Street|15000000|40978333|1987
Wanted: Dead or Alive|-1|7555000|1986
Weeds|-1|2325444|1987
The Whales of August|-1|1338198|1987
White Mischief|5300000|3107551|1988
White Water Summer|-1|300859|1987
White of the Eye|-1|225132|1987
Who's That Girl|-1|7305209|1987
Winter adé|-1|368|1987
Wish You Were Here|-1|3283832|1987
The Witches of Eastwick|-1|63766510|1987
Withnail & I|-1|1544889|1987
The Year My Voice Broke|-1|213901|1987
You Talkin' to Me?|-1|1569|1987
Zärtliche Chaoten|-1|7649955|1987
18 Again!|-1|2567099|1988
1969|-1|5979011|1988
36 fillette|-1|410109|1988
976-EVIL|-1|2955917|1988
Fist Fighter|-1|221163|1989
Above the Law|-1|18869631|1988
The Accidental Tourist|-1|32632093|1988
The Accused|6000000|32069318|1988
Action Jackson|7000000|20257000|1988
Akira|1100000000|439162|1988
Alien Nation|16000000|25216243|1988
Aloha Summer|-1|418379|1988
Another Woman|10000000|1562749|1988
Any Man's Death|-1|3316|1988
Apartment Zero|4000000|670774|1988
Appointment with Death|-1|960040|1988
Apprentice to Murder|-1|466369|1988
Arthur 2: On the Rocks|-1|14681192|1988
Bad Dreams|4000000|9797098|1988
Bat*21|-1|3966256|1988
Beaches|-1|57041866|1988
The Beast of War|-1|161004|1988
Beetle Juice|15000000|73326666|1988
Betrayed|19000000|25816139|1988
Big|18000000|114968774|1988
Big Business|-1|40150487|1988
Big Time|-1|148426|1988
Big Top Pee-wee|-1|15122324|1988
Biloxi Blues|20000000|43184798|1988
Bird|9000000|2181286|1988
The Blob|19000000|8247943|1988
The Blood of Heroes|10000000|882290|1989
The Blue Iguana|-1|161398|1988
The Boost|8000000|784990|1988
Braddock: Missing in Action III|-1|6193901|1988
Bright Lights, Big City|25000000|16118077|1988
Bull Durham|7000000|50888729|1988
Bulletproof|5000000|807947|1988
Buster|-1|540000|1988
Caddyshack II|20000000|11260104|1988
Call Me|-1|251819|1988
Camille Claudel|-1|201055|1988
Casual Sex?|-1|12277096|1988
Child's Play|9000000|32842703|1988
Chocolat|-1|2317091|1988
The Chocolate War|-1|303624|1988
A Chorus of Disapproval|-1|216373|1988
Clara's Heart|-1|5194491|1988
Clean and Sober|-1|8674093|1988
Cocktail|-1|78222753|1988
Cocoon: The Return|-1|18924919|1988
Colors|-1|46616067|1988
Coming to America|39000000|128152300|1988
Consuming Passions|-1|118206|1988
The Couch Trip|-1|11005304|1988
Critters 2: The Main Course|4500000|3813293|1988
Crossing Delancey|-1|16262415|1988
Crusoe|-1|315421|1988
Evil Angels|15000000|6908797|1988
D.O.A.|-1|12706478|1988
Da|-1|604532|1988
Dangerous Liaisons|14000000|34700000|1988
Dead Heat|5000000|3588626|1988
The Dead Pool|-1|37903295|1988
Dead Ringers|-1|9134733|1988
The Deceivers|-1|346297|1988
The Decline of Western Civilization Part II: The Metal Years|500000|373743|1988
Die Hard|28000000|80707729|1988
Dirty Rotten Scoundrels|-1|42039085|1988
Distant Thunder|-1|156188|1988
Distant Voices, Still Lives|-1|688329|1988
Dominick and Eugene|-1|3076031|1988
Dun-Huang|-1|123959|1988
Eight Men Out|6000000|5680515|1988
Elvira, Mistress of the Dark|7500000|5596267|1988
Ernest Saves Christmas|6000000|28202109|1988
Everybody's All-American|-1|12638294|1988
Far North|-1|147234|1988
Feds|-1|3838793|1988
A Fish Called Wanda|7500000|63493712|1988
For Keeps?|-1|17514553|1988
Frantic|20000000|17637950|1988
Freeway|-1|142671|1988
Fresh Horses|-1|6640346|1988
Friday the 13th Part VII: The New Blood|3500000|19069488|1988
Full Moon in Blue Water|-1|450726|1988
Funny Farm|19000000|25537221|1988
The Good Mother|-1|4764606|1988
Gorillas in the Mist: The Story of Dian Fossey|22000000|24720479|1988
Le grand bleu|80000000|80804|1988
The Great Outdoors|24000000|41455230|1988
Hairspray|2000000|6351909|1988
Halloween 4: The Return of Michael Myers|5000000|17768757|1988
A Handful of Dust|-1|1560700|1988
Hanna's War|-1|139796|1988
Hanussen|-1|82635|1988
Heart of Midnight|-1|113275|1988
Heartbreak Hotel|-1|5509417|1988
Heavy Petting|-1|272371|1989
Helem Krav|-1|766|1988
Hellbound: Hellraiser II|-1|11867397|1988
Hero and the Terror|-1|5301200|1988
High Hopes|-1|1192322|1988
High Season|-1|1125000|1987
High Spirits|-1|7399763|1988
High Tide|-1|138288|1987
Hot to Trot|-1|6436211|1988
The House on Carroll Street|-1|459824|1988
Hôtel Terminus|-1|341018|1988
I'm Gonna Git You Sucka|-1|13030057|1988
Illegally Yours|-1|259019|1988
Imagine: John Lennon|-1|3753977|1988
The In Crowd|-1|124880|1988
Iron Eagle II|-1|10497324|1988
It Takes Two|-1|209769|1988
Jack's Back|-1|492519|1988
Johnny Be Good|-1|17550399|1988
Judgment in Berlin|-1|229556|1988
Kansas|-1|2432536|1988
The Kiss|-1|1869148|1988
Lady in White|4700000|1705139|1988
The Lair of the White Worm|2500000|1189315|1988
The Land Before Time|12300000|46052460|1988
Last Rites|-1|426965|1988
The Last Temptation of Christ|7000000|7379396|1988
La lectrice|-1|699397|1988
License to Drive|8000000|22433275|1988
Gandahar|-1|370698|1988
Little Dorrit|-1|1025228|1988
Little Nikita|-1|1733070|1988
Mac and Me|-1|6424112|1988
Madame Sousatzka|-1|3548238|1988
Malenkaya Vera|-1|1262598|1988
Maniac Cop|1100000|671382|1988
Married to the Mob|10000000|21486757|1988
Marusa no onna 2|-1|333584|1988
Masquerade|-1|15855828|1988
Le maître de musique|-1|1086894|1989
Medea|-1|16087|1988
Memories of Me|-1|3965604|1988
Messenger of Death|-1|3074681|1988
Midnight Crossing|-1|1328001|1988
Midnight Run|30000000|38413606|1988
The Milagro Beanfield War|-1|13825794|1988
Miles from Home|-1|188964|1988
Mississippi Burning|15000000|34603943|1988
The Moderns|-1|2011497|1988
Monkey Shines|7000000|5344577|1988
Moon Over Parador|20000000|11444204|1988
Moving|-1|10815378|1988
Mr. North|-1|1221366|1988
Mujeres al borde de un ataque de nervios|700000|7179298|1988
My Best Friend Is a Vampire|-1|174380|1987
My Stepmother Is an Alien|20000000|13854000|1988
Mystic Pizza|6000000|12793213|1988
The Naked Gun: From the Files of Police Squad!|-1|78041829|1988
The Navigator: A Mediaeval Odyssey|-1|1333379|1988
The Nest|-1|3765000|1988
A New Life|-1|7721851|1988
A Night in the Life of Jimmy Reardon|-1|6264058|1988
A Nightmare on Elm Street 4: The Dream Master|13000000|45166724|1988
Not of This Earth|210000|107352|1988
Nuovo cinema Paradiso|-1|392045|1988
Off Limits|-1|7242035|1988
Oliver & Company|-1|73450885|1988
Otto - Der Neue Film|-1|26914498|1987
L'ours|-1|3696158|1988
Out of Rosenheim|-1|3587303|1987
Out of the Dark|1600000|419428|1989
The Outside Chance of Maximilian Glick|-1|317670|1988
Party Line|-1|154887|1988
Pascali's Island|-1|1451857|1988
Pass the Ammo|-1|169785|1988
Patti Rocks|-1|345000|1988
Patty Hearst|-1|1223326|1988
Permanent Record|8000000|1893139|1988
Phantasm II|3000000|5667120|1988
Plain Clothes|-1|289323|1988
Platoon Leader|-1|1348771|1988
Police Academy 5: Assignment: Miami Beach|-1|19510371|1988
Poltergeist III|10500000|14114488|1988
Pound Puppies and the Legend of Big Paw|-1|504636|1988
Powaqqatsi|2500000|589244|1988
The Presidio|-1|20036242|1988
Prison|4000000|354704|1988
Promised Land|-1|316199|1987
Pulse|-1|40397|1988
Pumpkinhead|3500000|4385516|1988
Punchline|-1|21032267|1988
Rain Man|25000000|172825435|1988
Rambo III|63000000|53715611|1988
Rampage|-1|796368|1987
Red Heat|-1|34994648|1988
Rent-a-Cop|-1|295000|1987
The Rescue|-1|5855392|1988
Return of the Living Dead Part II|6200000|9205924|1988
The Man from Snowy River II|-1|13687027|1988
Rikky and Pete|-1|206138|1988
Rocket Gibraltar|-1|187349|1988
Running on Empty|-1|2835116|1988
Salaam Bombay!|-1|2080046|1988
Salome's Last Dance|-1|331469|1988
Salsa|-1|8892589|1988
Satisfaction|-1|8253123|1988
Scavengers|-1|699118|1988
School Daze|6500000|14545844|1988
Scrooged|32000000|60328558|1988
The Serpent and the Rainbow|7000000|19595031|1988
Seven Hours to Judgment|-1|177820|1988
The Seventh Sign|-1|18875011|1988
Shakedown|-1|10068039|1988
She's Having a Baby|-1|16031707|1988
Shoot to Kill|-1|29300090|1988
Short Circuit 2|-1|21630088|1988
Spellbinder|-1|1938049|1988
Spike of Bensonhurst|-1|623112|1988
Split Decisions|-1|695822|1988
Stars and Bars|-1|111987|1988
Stealing Home|-1|7467504|1988
Sticky Fingers|-1|208633|1988
Stormy Monday|-1|1791328|1988
A Summer Story|-1|462813|1988
Sunset|19000000|4594452|1988
Sweet Hearts Dance|-1|3790493|1988
Switching Channels|18000000|9129999|1988
Taffin|-1|159969|1988
Talk Radio|4000000|3468572|1988
Tapeheads|-1|343786|1988
The Telephone|-1|99978|1988
Tequila Sunrise|23000000|41292551|1988
The Terror Within|-1|858591|1989
They Live|4000000|13008928|1988
The Thin Blue Line|-1|1209846|1988
Things Change|-1|3527886|1988
Tiger Warsaw|-1|422667|1988
A Time of Destiny|-1|1212487|1988
Tokyo Pop|-1|125345|1988
Torch Song Trilogy|-1|4865997|1988
Tougher Than Leather|-1|3582760|1988
Track 29|5000000|429028|1988
Tucker: The Man and His Dream|23000000|19652638|1988
Two Moon Junction|-1|1547397|1988
U2: Rattle and Hum|-1|8600823|1988
The Unbearable Lightness of Being|17000000|10006806|1988
Une affaire de femmes|-1|438483|1988
The Unholy|-1|6337299|1988
Vibes|-1|1883811|1988
Vice Versa|-1|13664060|1988
La vie est un long fleuve tranquille|-1|194456|1988
Walker|5800000|257043|1987
Warm Nights on a Slow Moving Train|-1|400000|1988
Watchers|-1|940173|1988
Waxwork|-1|808114|1988
Who Framed Roger Rabbit|70000000|154222492|1988
Willow|35000000|57269863|1988
Without a Clue|-1|8539181|1988
The Wizard of Loneliness|-1|144566|1988
Wong gok ka moon|-1|8440|1988
Working Girl|28000000|64000000|1988
A World Apart|-1|2326900|1988
World Gone Wild|-1|307000|1988
The Wrong Guys|-1|1152786|1988
You Can't Hurry Love|-1|333152|1988
Young Einstein|-1|11536599|1988
Young Guns|13000000|44726644|1988
The 'burbs|-1|36602000|1989
84C MoPic|-1|154264|1989
The Abyss|69500000|54222000|1989
Torrents of Spring|-1|111747|1989
The Adventures of Baron Munchausen|46630000|8083123|1988
All Dogs Go to Heaven|-1|27100027|1989
Always|31000000|43858790|1989
American Ninja 3: Blood Hunt|-1|679980|1989
Apoorva Sahodarargal|-1|5484000|1989
Az én XX. századom|-1|682016|1989
Babar: The Movie|-1|1305187|1989
Back to the Future Part II|40000000|118500000|1989
Batman|35000000|251185407|1989
Bert Rigby, You're a Fool|-1|75868|1989
Best of the Best|-1|1700000|1989
Beverly Hills Brats|-1|192561|1989
The Big Picture|5000000|117463|1989
Bill & Ted's Excellent Adventure|10000000|40485039|1989
Blaze|-1|19131246|1989
Blind Fury|-1|2692037|1989
Bloodfist|-1|1770082|1989
Bloodhounds of Broadway|-1|43671|1989
Born on the Fourth of July|14000000|70001698|1989
Breaking In|6000000|1877618|1989
Bye Bye Blues|-1|161323|1989
Cage|-1|618178|1989
Cameron's Closet|7000000|136203|1988
Casualties of War|22500000|18671317|1989
Catch Me If You Can|800000|7000000|1989
Chances Are|16000000|16278590|1989
Koneko monogatari|-1|13299749|1986
Cheetah|5000000|8153677|1989
Cold Feet|-1|289975|1989
Comment faire l'amour avec un nègre sans se fatiguer|-1|491193|1989
Communion|-1|1919653|1989
Conte de printemps|-1|201332|1990
The Cook the Thief His Wife & Her Lover|-1|7724701|1989
Cookie|-1|1869417|1989
Courage Mountain|-1|1393610|1990
Cousins|13000000|22030000|1989
Crack House|-1|862551|1989
Crimes and Misdemeanors|19000000|18254702|1989
Criminal Law|-1|9974446|1988
Cruising Bar|-1|3400000|1989
Cyborg|1800000|10166459|1989
Dad|19000000|19738015|1989
Damned River|5000000|20585|1989
Diamond Skulls|-1|333811|1989
Dead Calm|-1|7825009|1989
Dead Poets Society|16400000|95860116|1989
Dead Bang|-1|8125592|1989
DeepStar Six|-1|8143225|1989
Disorganized Crime|-1|7723506|1989
Do the Right Thing|6500000|27545445|1989
Dom za vesanje|-1|280015|1988
The Dream Team|15000000|28890240|1989
Dream a Little Dream|-1|5552441|1989
Driving Miss Daisy|7500000|106593296|1989
Drugstore Cowboy|2500000|4729352|1989
A Dry White Season|-1|3766879|1989
Earth Girls Are Easy|10000000|3916303|1988
Eat a Bowl of Tea|-1|231423|1989
Eddie and the Cruisers II: Eddie Lives!|-1|536508|1989
Edge of Sanity|-1|102219|1989
Enemies: A Love Story|-1|7754571|1989
Erik the Viking|-1|1932642|1989
The Experts|-1|169203|1989
The Fabulous Baker Boys|11500000|16823529|1989
Family Business|-1|12195695|1989
Farewell to the King|-1|2420917|1989
Fast Food|-1|472340|1989
Fat Man and Little Boy|-1|3563162|1989
Field of Dreams|-1|64431625|1989
Fletch Lives|-1|35150960|1989
The Fly II|-1|20021322|1989
For All Mankind|-1|770132|1989
For Queen & Country|-1|191051|1988
Friday the 13th Part VIII: Jason Takes Manhattan|5000000|14335525|1989
Fright Night Part 2|-1|2983784|1988
Getting It Right|-1|960385|1989
Ghostbusters II|-1|112494738|1989
The Girl in a Swing|-1|747013|1988
Gleaming the Cube|-1|2777280|1989
Glory|18000000|26830000|1989
The Gods Must Be Crazy II|-1|6291444|1989
La famiglia Buonanotte|-1|120513|1989
Great Balls of Fire!|-1|13741060|1989
Gross Anatomy|-1|11604598|1989
Halloween 5|5000000|11642254|1989
Harlem Nights|30000000|60864870|1989
Heart of Dixie|-1|1097333|1989
Heathers|2000000|1108462|1988
Henry V|9000000|10161099|1989
Her Alibi|-1|18699037|1989
Honey, I Shrunk the Kids|-1|130724200|1989
The Horror Show|-1|1379660|1989
How I Got Into College|-1|1642239|1989
How to Get Ahead in Advertising|-1|418053|1989
I, Madman|-1|151203|1989
Immediate Family|-1|5932613|1989
In Country|18000000|3531971|1989
Indiana Jones and the Last Crusade|48000000|197171806|1989
An Innocent Man|-1|20047604|1989
Jacknife|-1|2049769|1989
The January Man|-1|4611062|1989
Johnny Handsome|20000000|7237794|1989
Jésus de Montréal|-1|1601612|1989
K-9|-1|43247647|1989
The Karate Kid, Part III|-1|38956288|1989
Kickboxer|1500000|14533681|1989
Kill Me Again|4000000|283694|1989
Kinjite: Forbidden Subjects|-1|3416846|1989
Ladri di saponette|-1|1231622|1989
Last Exit to Brooklyn|-1|1730005|1989
Lean on Me|-1|31906454|1989
Let It Ride|18000000|4973285|1989
Lethal Weapon 2|-1|147253986|1989
Leviathan|-1|15704614|1989
Licence to Kill|32000000|33197509|1989
Lightning Over Braddock: A Rustbowl Fantasy|54000|22060|1988
Listen to Me|-1|4299023|1989
The Little Mermaid|40000000|109859444|1989
Little Monsters|-1|793775|1989
Lock Up|-1|22099847|1989
Look Who's Talking|7500000|140088813|1989
Lost Angels|-1|1247946|1989
Loverboy|-1|3960327|1989
The Mahabharata|-1|334077|1989
Major League|11000000|49797148|1989
The Mighty Quinn|-1|4557214|1989
Millennium|-1|5777099|1989
Milou en mai|-1|1576702|1990
Miracle Mile|3000000|1145404|1988
Wilt|-1|113014|1989
Miss Firecracker|-1|646890|1989
Monsieur Hire|-1|1417030|1989
My Left Foot: The Story of Christy Brown|600000|14743391|1989
Mystery Train|2800000|1541518|1989
Christmas Vacation|27000000|71320000|1989
New York Stories|15000000|10763469|1989
Next of Kin|12000000|15942628|1989
Night Game|-1|337812|1989
A Nightmare on Elm Street: The Dream Child|6000000|19133255|1989
No Holds Barred|-1|16093651|1989
No Retreat, No Surrender 2: Raging Thunder|-1|108154|1988
Les noces de papier|-1|229316|1989
Old Gringo|-1|3574256|1989
Othello|-1|431795|1989
Out Cold|-1|294266|1989
The Package|-1|10647219|1989
Pan Jin Lian zhi qian shi jin sheng|-1|123254|1989
Paperhouse|-1|241278|1988
Parenthood|-1|100047830|1989
Parents|3000000|870532|1989
Pet Sematary|11500000|57469179|1989
La petite voleuse|-1|1055416|1988
The Phantom of the Opera|-1|3953745|1989
Physical Evidence|17000000|3560932|1989
Pink Cadillac|-1|12143484|1989
Police Academy 6: City Under Siege|-1|11567217|1989
Powwow Highway|-1|283747|1989
Prancer|-1|18587135|1989
The Punisher|10000000|287434|1989
Queen of Hearts|-1|1236844|1989
Race for Glory|-1|100326|1989
The Rachel Papers|-1|201468|1989
The Rainbow|-1|444055|1989
Red Scorpion|16000000|4192440|1989
Relentless|-1|6985999|1989
Renegades|-1|9015164|1989
The Return of Swamp Thing|-1|192816|1989
River of Death|-1|535031|1989
Road House|19000000|30050028|1989
Roger & Me|160000|5581690|1989
Romero|-1|1316495|1989
Romuald et Juliette|-1|495063|1989
Rooftops|-1|2043889|1989
Rosalie Goes Shopping|-1|574080|1989
Rude Awakening|-1|3169719|1989
Say Anything...|-1|20781385|1989
Scandal|-1|8800000|1989
Scenes from the Class Struggle in Beverly Hills|-1|2156471|1989
Sea of Love|-1|58571513|1989
Second Sight|-1|5368865|1989
See No Evil, Hear No Evil|18000000|46908987|1989
See You in the Morning|-1|4795009|1989
Shag|-1|6957975|1989
She's Out of Control|-1|12065892|1989
She-Devil|-1|15351421|1989
Shirley Valentine|-1|6353913|1989
Shocker|5000000|16554699|1989
Sidewalk Stories|-1|131433|1989
Sing|-1|2260616|1989
Skin Deep|-1|19674852|1989
Slaves of New York|-1|463972|1989
Some Girls|-1|401421|1988
Sono otoko, kyôbô ni tsuki|-1|1960|1989
Speed Zone!|-1|2937126|1989
Star Trek V: The Final Frontier|27800000|52210049|1989
Staying Together|-1|4348025|1989
Steel Magnolias|-1|5467015|1989
Stepfather II|-1|1519796|1989
Storia di ragazzi e di ragazze|-1|741221|1989
Strapless|-1|764794|1989
The Tall Guy|-1|510712|1989
Tango & Cash|55000000|63408614|1989
Tap|-1|9114702|1989
Teen Witch|-1|25560|1989
Thelonious Monk: Straight, No Chaser|-1|518918|1988
Three Fugitives|15000000|40590000|1989
To the Limit|-1|23500000|1989
The Toxic Avenger Part III: The Last Temptation of Toxie|-1|363561|1989
The Toxic Avenger, Part II|2300000|792966|1989
Triumph of the Spirit|-1|168852|1989
Troop Beverly Hills|18000000|8508843|1989
Trop belle pour toi|-1|1776440|1989
True Believer|-1|8742750|1989
Turner & Hooch|-1|71079915|1989
UHF|5000000|6157157|1989
Uncle Buck|-1|66758538|1989
Under the Boardwalk|-1|147542|1989
Valmont|33000000|1132112|1989
Vampire's Kiss|-1|725131|1988
La vie et rien d'autre|-1|428758|1989
War Party|-1|657190|1988
The War of the Roses|-1|83699711|1989
Warlock|7000000|9094451|1989
We're No Angels|20000000|10555348|1989
Weekend at Bernie's|-1|30218387|1989
Welcome Home|-1|1029822|1989
When Harry Met Sally...|16000000|92823546|1989
Who's Harry Crumb?|-1|10982364|1989
Wicked Stepmother|2500000|43749|1989
Winter People|-1|2023282|1989
Wired|-1|1089000|1989
The Wizard|-1|14278900|1989
Worth Winning|-1|3690400|1989
Sex, Lies, and Videotape|1200000|24741700|1989
Sweetie|-1|938065|1989
3 Men and a Little Lady|-1|71609321|1990
3-4 x jûgatsu|-1|1471|1990
The Adventures of Ford Fairlane|-1|21413502|1990
After Dark, My Sweet|-1|2678414|1990
Air America|-1|31053601|1990
Alice|12000000|7331647|1990
All the Vermeers in New York|250000|142721|1990
Almost an Angel|-1|9100618|1990
American Dream|-1|269823|1990
Angel Town|-1|855810|1990
An Angel at My Table|-1|1054638|1990
Another 48 Hrs.|38000000|80820000|1990
Arachnophobia|31000000|53133888|1990
Archangel|-1|2592|1990
Avalon|-1|15740796|1990
Awakenings|-1|52096475|1990
Back to the Future Part III|40000000|87666629|1990
Bad Influence|-1|12626043|1990
Betsy's Wedding|-1|19740070|1990
The Big Man|-1|59227|1990
Bird on a Wire|20000000|70980000|1990
Bloodfist II|-1|1292323|1990
Blue Planet|-1|22800000|1990
Blue Steel|-1|8220000|1989
Body Chemistry|-1|2415312|1990
The Bonfire of the Vanities|47000000|15691192|1990
Book of Love|-1|1382259|1990
Brain Dead|-1|1627955|1990
La baule-les Pins|-1|805462|1990
